Date,Actual_Revenue,Predicted_Revenue,Residual
2025-03-10,6489413.14,5882926.606000964,606486.5339990361
2025-03-17,6047897.17,6090176.379749151,-42279.20974915102
2025-03-24,6094422.08,5962880.492298464,131541.58770153578
2025-03-31,5818308.07,5749954.640739822,68353.42926017847
2025-04-07,5758048.28,5819353.548314108,-61305.26831410732
2025-04-14,6185933.22,5762379.413870887,423553.80612911284
2025-04-21,5867280.75,5789279.097655506,78001.65234449413
2025-04-28,5744884.16,5763510.903531942,-18626.743531941436
2025-05-05,5916641.05,5606036.6354002785,310604.4145997213
2025-05-12,5725937.75,5600935.532621066,125002.21737893391
2025-05-19,5703346.31,5679728.296547702,23618.013452298008
2025-05-26,5952700.4,5505491.302231641,447209.0977683598
2025-06-02,5504266.17,5727643.362653533,-223377.19265353307
2025-06-09,5512675.26,5509410.831318236,3264.4286817638204
2025-06-16,5738496.72,5382310.675142057,356186.0448579425
2025-06-23,6224803.18,5688484.207646177,536318.9723538226
2025-06-30,5957431.06,5557425.084868289,400005.975131711
2025-07-07,5513901.36,5524417.344494078,-10515.984494077973
2025-07-14,5683965.03,5310186.49592339,373778.5340766106
2025-07-21,5396318.76,5187191.947656337,209126.8123436626
2025-07-28,5918389.97,5184239.924852986,734150.0451470139
2025-08-04,5202254.55,4944778.232522269,257476.31747773103
2025-08-11,5557487.27,4936050.23895486,621437.0310451398
2025-08-18,5192972.06,5079582.184227597,113389.87577240262
2025-08-25,5675629.95,4858479.170227415,817150.7797725853
2025-09-01,5404786.48,5063901.018008251,340885.4619917497
2025-09-08,5035699.44,4971487.16529518,64212.27470482048
2025-09-15,5004435.97,4982930.903854167,21505.06614583265
2025-09-22,5741364.66,5482454.050983329,258910.60901667085
2025-09-29,5839812.63,5637478.869281631,202333.76071836893
2025-10-06,5063013.59,5457872.32349533,-394858.73349533044
2025-10-13,5220132.2,5422484.023877719,-202351.82387771923
2025-10-20,5190764.0,5499836.146563536,-309072.14656353556
2025-10-27,5130556.39,5273351.772587973,-142795.38258797303
2025-11-03,4875736.29,5296610.322488713,-420874.03248871304
2025-11-10,5112711.54,5377083.96656077,-264372.4265607698
2025-11-17,5820878.82,5896661.525831355,-75782.70583135448
2025-11-24,5959886.9,5992355.92910044,-32469.02910043951
2025-12-01,5677180.12,5807149.894451345,-129969.7744513452
2025-12-08,5646351.49,5726350.667455055,-79999.1774550546
2025-12-15,6197520.33,6168326.036719821,29194.29328017868
2025-12-22,6492321.1,6396578.2568730125,95742.8431269871
