Date,TV_Spend,Radio_Spend,Print_Spend,Search_Spend,Social_Media_Spend,Display_Ads_Spend,Email_Marketing_Spend,Influencer_Marketing_Spend,Promotion_Spend,Average_Price,Website_Traffic,New_Customers,Returning_Customers,Orders,Holiday,Season,Competitor_Index,Economic_Index,Revenue,Year,Month,Week,Quarter,WeekOfYear,Total_Marketing_Spend,Digital_Spend,Traditional_Spend,Digital_Spend_Share,Traditional_Spend_Share,TV_Spend_Share,Radio_Spend_Share,Print_Spend_Share,Search_Spend_Share,Social_Media_Spend_Share,Display_Ads_Spend_Share,Email_Marketing_Spend_Share,Influencer_Marketing_Spend_Share,Revenue_Growth_WoW,Marketing_Growth_WoW,Customer_Growth_WoW,Total_Customers,AOV,New_Customer_Share,Naive_ROAS
2022-01-03,519999.53,223673.6,136248.41,363393.5,238683.29,257910.44,32257.12,128006.0,62464.77,1409.66,87896.0,1004.0,2050.0,3054.0,1,Winter,106.13,101.71,4276417.62,2022,1,1,1,1,1900171.8900000001,1020250.35,879921.54,0.536925293637514,0.463074706362486,0.2736592056416538,0.11771229812267141,0.07170320259816074,0.19124243544093264,0.12561142034366163,0.1357300575581086,0.016975895796458706,0.0673654844983524,0.0,0.0,0.0,3054.0,1400.2677210216111,0.3287491814014407,2.2505425127618324
2022-01-10,466692.08,24385.93,70604.83,229173.51,164517.66,75738.62,26600.96,99732.96,0.0,1411.29,75632.0,1167.0,1861.0,3028.0,0,Winter,102.93,98.11,4258203.47,2022,1,2,1,2,1157446.55,595763.7100000001,561682.84,0.5147224379389269,0.4852775620610731,0.4032083209371526,0.021068730992372824,0.06100051013154776,0.19799921646489854,0.14213845123129012,0.06543595468836119,0.022982452191852833,0.08616636336252417,-0.004259207499944906,-0.39087271204711904,-0.008513425016371978,3028.0,1406.2759147952443,0.38540290620871864,3.67896337848171
2022-01-17,511441.69,139458.43,99839.75,210573.21,264900.29,111211.03,29489.21,13635.56,47351.55,1420.73,67611.0,948.0,2076.0,3024.0,0,Winter,109.63,102.33,4238660.04,2022,1,3,1,3,1380549.17,629809.3,750739.87,0.45620200546714323,0.5437979945328568,0.3704624950084176,0.10101663383709832,0.07231886568734093,0.15252858396923305,0.1918803732285754,0.08055564583766328,0.02136049236116668,0.00987691007050477,-0.004589595151497039,0.1927541448890231,-0.0013210039630119352,3024.0,1401.6732936507938,0.3134920634920635,3.070270970500819
2022-01-24,370545.34,185283.68,98364.16,148624.84,184370.74,179185.61,24223.76,63725.51,0.0,1454.25,76513.0,1151.0,2011.0,3162.0,0,Winter,113.86,103.36,4549146.68,2022,1,4,1,4,1254323.6400000001,600130.46,654193.18,0.47844945344408873,0.5215505465559112,0.2954144593814719,0.14771600732965534,0.07842007984478391,0.11849002542916275,0.14698817284508803,0.14285436731464296,0.019312208769341217,0.05080467908585379,0.07325113056247834,-0.0914313903068007,0.045634920634920695,3162.0,1438.6928146742566,0.3640101201771031,3.6267726565370317
2022-01-31,557515.93,84445.57,64774.48,227854.51,317352.88,160141.71,24334.32,118485.87,0.0,1429.19,66169.0,1110.0,2058.0,3168.0,0,Winter,107.42,101.74,4505986.97,2022,1,5,1,5,1554905.27,848169.2899999999,706735.98,0.5454797191599974,0.4545202808400025,0.35855298760419024,0.05430914128935971,0.041658151946452664,0.14653915862025474,0.2040978869407266,0.10299129669809402,0.015650033779871363,0.0762013431210507,-0.009487429849151408,0.23963642270187924,0.00189753320683117,3168.0,1422.3443718434344,0.3503787878787879,2.8979173567274614
2022-02-07,393359.43,114281.03,106919.58,164425.66,200470.18,94520.21,22288.55,119157.07,54988.15,1378.36,57204.0,782.0,1398.0,2180.0,0,Winter,101.42,101.29,2971612.6,2022,2,6,1,6,1215421.71,600861.6699999999,614560.0399999999,0.49436476661256934,0.5056352333874305,0.3236402861357479,0.09402582581810226,0.08796912143358045,0.13528280649191302,0.16493878490947805,0.07776741950742348,0.01833812068405459,0.0980376350197003,-0.3405190428235969,-0.2183307025514165,-0.31186868686868685,2180.0,1363.1250458715597,0.3587155963302752,2.444923087641737
2022-02-14,417951.82,100803.06,101970.03,288512.83,296665.0,128993.9,23084.69,56217.07,0.0,1418.22,71532.0,975.0,2326.0,3301.0,0,Winter,106.22,102.75,4684852.45,2022,2,7,1,7,1414198.4,793473.49,620724.91,0.5610765010057995,0.4389234989942006,0.2955397347359465,0.07127929150535031,0.0721044727529037,0.20401156584535807,0.20977608233752776,0.09121343935900367,0.01632351585180693,0.039751897612103085,0.5765353969760392,0.1635454495872053,0.5142201834862385,3301.0,1419.2221902453803,0.29536504089669796,3.312726453374576
2022-02-21,727322.84,96087.82,89778.86,318424.93,219889.86,122228.81,20148.47,112184.35,0.0,1430.57,90559.0,1282.0,2184.0,3466.0,0,Winter,111.08,96.54,4917920.38,2022,2,8,1,8,1706065.9400000002,792876.42,913189.5199999999,0.4647396102403873,0.5352603897596125,0.42631578472283427,0.05632128146230971,0.05262332357446863,0.18664280350148715,0.1288870815860728,0.071643661088504,0.01180990108741049,0.06575616297691284,0.049749257311187955,0.20638372946822758,0.04998485307482592,3466.0,1418.9037449509522,0.3698788228505482,2.882608617108902
2022-02-28,315401.41,119338.43,71383.45,207312.51,256184.92,133739.97,31092.92,150047.03,0.0,1429.41,69137.0,1153.0,2248.0,3401.0,0,Winter,108.24,103.17,4932905.08,2022,2,9,1,9,1284500.6400000001,778377.3500000001,506123.29,0.6059766151615152,0.3940233848384847,0.24554398820696574,0.09290647764877717,0.0555729189827418,0.16139541199450083,0.19944320152304476,0.10411825874995281,0.02420623161386669,0.11681351128015006,0.0030469586414898497,-0.24709789353159473,-0.018753606462781347,3401.0,1450.4278388709204,0.33901793590120555,3.8403290168855033
2022-03-07,77624.87,190093.4,69671.05,263662.4,162161.73,98264.25,35921.87,140743.36,0.0,1393.64,82509.0,1355.0,2243.0,3598.0,0,Spring,106.24,102.63,4977083.78,2022,3,10,1,10,1038142.9299999999,700753.61,337389.32,0.675006870200426,0.32499312979957395,0.0747728157239389,0.18310908306238718,0.06711123101324787,0.25397504753993755,0.15620366455705673,0.09465387391310366,0.03460204656019764,0.13557223763013057,0.008955919338305973,-0.19179259420221084,0.05792413995883572,3598.0,1383.2917676486938,0.3765981100611451,4.794218248926476
2022-03-14,784300.83,207460.16,77175.7,214047.36,155879.14,121830.88,34534.07,103993.91,0.0,1421.51,69659.0,1038.0,2177.0,3215.0,0,Spring,107.19,103.04,4509406.08,2022,3,11,1,11,1699222.0499999998,630285.36,1068936.69,0.3709258363261,0.6290741636739001,0.46156464954065307,0.12209125935012438,0.04541825478312267,0.12596785687897588,0.091735591590281,0.07169803381494491,0.02032345919710729,0.061200894844790896,-0.09396621006849926,0.6367900805335156,-0.10644802668148967,3215.0,1402.6146438569208,0.3228615863141524,2.653806240332157
2022-03-21,952375.19,120686.86,101612.61,220131.18,232517.0,65536.1,21632.61,88370.89,75041.37,1412.11,90001.0,1191.0,2226.0,3417.0,0,Spring,104.1,104.83,4890739.28,2022,3,12,1,12,1802862.4400000002,628187.78,1174674.6600000001,0.3484391077557753,0.6515608922442248,0.5282572695895755,0.06694180172725768,0.056361820927391434,0.12210092967492293,0.12897101566994762,0.03635113725038278,0.011999035267493841,0.04901698989302811,0.08456395215575707,0.0609928466971108,0.06283048211508557,3417.0,1431.2962481709103,0.3485513608428446,2.7127634208187286
2022-03-28,432862.27,211383.81,68249.46,292027.51,264150.08,131554.99,31858.27,81702.35,0.0,1439.72,92814.0,1116.0,2071.0,3187.0,0,Spring,104.68,103.53,4583077.43,2022,3,13,1,13,1513788.7400000002,801293.2000000001,712495.54,0.5293296077760493,0.4706703922239506,0.2859462873267243,0.139638910248467,0.04508519464875924,0.19291166744971294,0.1744960000164884,0.08690445801572019,0.021045387086179538,0.05397209520794823,-0.06290702333247267,-0.16034151779211725,-0.06731050629206903,3187.0,1438.0537903984937,0.3501725760903671,3.027554181701734
2022-04-04,162615.79,136063.72,99568.06,251652.24,209835.46,143922.73,34966.52,130004.86,80060.97,1367.42,70876.0,1183.0,2283.0,3466.0,0,Spring,102.11,101.65,4800011.09,2022,4,14,2,14,1168629.3800000001,770381.8099999999,398247.57,0.6592182459078685,0.3407817540921314,0.1391508657774803,0.11643017224160494,0.08520071607304618,0.21533964857190221,0.1795568925367938,0.12315515291939691,0.029920966046566442,0.11124558583320915,0.04733362316333367,-0.2280102572304773,0.08754314402259178,3466.0,1384.8849076745528,0.34131563762261974,4.107385260158357
2022-04-11,449786.25,205362.51,61861.09,342400.16,132974.24,118344.32,26887.9,118250.55,0.0,1365.95,95472.0,1165.0,2081.0,3246.0,0,Spring,102.27,103.88,4480465.22,2022,4,15,2,15,1455867.02,738857.17,717009.85,0.50750319902157,0.49249680097843,0.3089473446551458,0.1410585631646495,0.042490893158634774,0.2351864251997411,0.09133680354954396,0.08128786377755848,0.018468651072266203,0.08122345542246022,-0.06657190244116706,0.24579019226779986,-0.06347374495095215,3246.0,1380.3035181762168,0.3589032655576094,3.077523673831144
2022-04-18,453275.78,130570.65,84984.9,229593.52,128716.96,65492.5,29314.47,137349.89,0.0,1363.27,92091.0,1104.0,2128.0,3232.0,0,Spring,97.24,104.52,4507588.94,2022,4,16,2,16,1259298.67,590467.34,668831.3300000001,0.46888586009544503,0.531114139904555,0.35994303083000956,0.10368521234124706,0.06748589673329838,0.1823185599012822,0.10221321046896684,0.05200712234532893,0.023278409402274682,0.10906855797759242,0.006053773139210072,-0.13501806641653302,-0.004313000616142926,3232.0,1394.6747957920793,0.3415841584158416,3.5794438979277254
2022-04-25,468835.79,139190.93,91731.0,304597.78,124705.42,164572.02,20159.22,115403.64,0.0,1352.6,78875.0,1122.0,2293.0,3415.0,0,Spring,97.5,104.82,4505284.03,2022,4,17,2,17,1429195.7999999998,729438.08,699757.72,0.5103835877491384,0.48961641225086167,0.32804167910373094,0.09739108525227964,0.06418364789485108,0.21312529745749328,0.08725565804209613,0.11515008650319292,0.014105289142327457,0.08074725660402865,-0.0005113398827356619,0.1349140867432186,0.05662128712871284,3415.0,1319.2632591508054,0.32855051244509514,3.1523210675542153
2022-05-02,305215.57,147980.66,143252.56,258244.72,104676.55,140505.44,29936.89,145207.44,0.0,1337.44,94787.0,1450.0,2185.0,3635.0,0,Spring,92.72,105.11,4760282.56,2022,5,18,2,18,1275019.8299999998,678571.04,596448.79,0.5322043030499377,0.4677956969500624,0.23938103770511557,0.1160614576480744,0.11235320159687243,0.20254172831178635,0.08209797803693768,0.11019863118521069,0.02347954854945276,0.11388641696655026,0.05659987878722039,-0.10787603070202134,0.0644216691068813,3635.0,1309.5687922971113,0.3988995873452545,3.733496882162217
2022-05-09,598303.25,259136.17,57979.53,292650.61,212897.82,98739.97,24112.66,113145.63,62648.6,1292.75,93154.0,1457.0,2377.0,3834.0,0,Spring,90.97,107.05,4903502.59,2022,5,19,2,19,1656965.6400000001,741546.6900000001,915418.9500000001,0.4475329313406885,0.5524670686593115,0.36108367944189834,0.15639199977616916,0.034991389441243935,0.17661839384913253,0.1284865629440572,0.05959083738151625,0.014552299346412516,0.06828483781957,0.03008645562418044,0.29956068212680287,0.054745529573590135,3834.0,1278.9521622326552,0.3800208659363589,2.959326658095336
2022-05-16,584922.88,165442.76,120189.52,228880.26,270442.77,115100.13,29418.95,142610.29,0.0,1332.09,78453.0,1194.0,2448.0,3642.0,0,Spring,97.34,102.96,4667940.48,2022,5,20,2,20,1657007.5599999998,786452.4,870555.16,0.47462209526672294,0.5253779047332772,0.3529995240335536,0.09984430004652485,0.07253408065319872,0.13812867576777987,0.16321154865461207,0.06946264626577806,0.017754264199011865,0.08606496037954108,-0.04803956063577797,2.529925726135751e-05,-0.0500782472613458,3642.0,1281.6970016474465,0.32784184514003295,2.817090635361978
2022-05-23,233962.14,103053.21,90472.07,247531.1,203784.54,68727.41,21757.03,145563.57,0.0,1341.09,82326.0,1185.0,2027.0,3212.0,0,Spring,92.65,105.63,4324445.06,2022,5,21,2,21,1114851.07,687363.6500000001,427487.42000000004,0.6165519938012887,0.3834480061987114,0.20985954653117928,0.09243675031858739,0.0811517093489447,0.22203064307055828,0.1827908188669541,0.06164716691710221,0.0195156380842869,0.1305677268623871,-0.07358607537343764,-0.32719011251825536,-0.11806699615595828,3212.0,1346.3403051058528,0.36892901618929014,3.8789441714398674
