Date,Revenue,Marketing_Spend,Orders
2022-01,21828414.78,7247396.52,15436.0
2022-02,17507290.509999998,5620186.6899999995,12348.0
2022-03,18960306.57,6054016.16,13417.0
2022-04,18293349.28,5312990.869999999,13359.0
2022-05,23120401.02,7078783.819999999,17918.0
2022-06,18977349.299999997,6324749.470000001,14294.0
2022-07,17282129.53,5401737.42,13397.0
2022-08,21665432.150000002,6675135.67,16558.0
2022-09,16879500.84,5390454.539999999,12812.0
2022-10,22107202.37,6153800.41,16843.0
2022-11,16602628.52,5742571.16,12133.0
2022-12,19121356.52,6324731.0600000005,13780.0
2023-01,24326311.03,8157452.32,17030.0
2023-02,22605673.19,6661145.9,16173.0
2023-03,20462351.79,6245458.6899999995,14613.0
2023-04,19825992.85,6703674.949999999,14096.0
2023-05,25000988.92,7634453.8100000005,18458.0
2023-06,19279291.4,5739324.09,14494.0
2023-07,24662082.31,7447114.289999999,18826.0
2023-08,19063317.310000002,5218789.720000001,14969.0
2023-09,18665821.58,7060056.36,14312.0
2023-10,22351622.43,7251936.449999999,17028.0
2023-11,18255261.13,6719905.859999999,13696.0
2023-12,20594946.52,6505767.15,14714.0
2024-01,27036746.64,8987564.780000001,19282.0
2024-02,22367807.59,7411537.01,15882.0
2024-03,23140303.7,7646439.64,16790.0
2024-04,27468632.52,8700241.459999999,20244.0
2024-05,19700063.82,6541115.53,14994.0
2024-06,22210050.05,7749361.23,17017.0
2024-07,26296011.78,8635377.58,20238.0
2024-08,20685066.51,6603902.539999999,16244.0
2024-09,26034547.71,9440500.79,19826.0
2024-10,18632929.45,6108135.23,13697.0
2024-11,20112769.56,8632349.12,14850.0
2024-12,28643487.560000002,11358006.61,20348.0
2025-01,23432916.1,7282569.05,16469.0
2025-02,24192372.02,9192916.48,17110.0
2025-03,30764593.94,10186694.8,22043.0
2025-04,23556146.41,8606933.57,17254.0
2025-05,23298625.509999998,8081854.639999999,17879.0
2025-06,28937672.39,10148335.21,22641.0
2025-07,22512575.12,7721527.93,17756.0
2025-08,21628343.83,6371866.2,16663.0
2025-09,27026099.18,9597226.2,20973.0
2025-10,20604466.18,6753017.6,15465.0
2025-11,21769213.55,8603620.91,15862.0
2025-12,24013373.04,9192073.89,17364.0
