Date,Revenue,Marketing_Spend,Orders
2022Q1,58296011.86,18921599.37,41201.0
2022Q2,60391099.6,18716524.16,45571.0
2022Q3,55827062.52,17467327.63,42767.0
2022Q4,57831187.41,18221102.63,42756.0
2023Q1,67394336.01,21064056.91,47816.0
2023Q2,64106273.17,20077452.85,47048.0
2023Q3,62391221.2,19725960.37,48107.0
2023Q4,61201830.08,20477609.46,45438.0
2024Q1,72544857.93,24045541.43,51954.0
2024Q2,69378746.39,22990718.22,52255.0
2024Q3,73015626.0,24679780.91,56308.0
2024Q4,67389186.57,26098490.96,48895.0
2025Q1,78389882.06,26662180.33,55622.0
2025Q2,75792444.31,26837123.42,57774.0
2025Q3,71167018.13,23690620.33,55392.0
2025Q4,66387052.77,24548712.400000002,48691.0
