Date,Forecast_Revenue,Lower_90,Upper_90
2025-12-29,6110864.330048538,5557774.653106406,6663954.006990669
2026-01-05,6203541.810931887,5650452.133989755,6756631.487874018
2026-01-12,6287824.456999243,5734734.780057112,6840914.133941375
2026-01-19,6361311.195806224,5808221.518864092,6914400.872748355
2026-01-26,6422118.7220854815,5869029.04514335,6975208.399027613
2026-02-02,6468963.051134039,5915873.374191907,7022052.72807617
2026-02-09,6501208.247644674,5948118.570702543,7054297.9245868055
2026-02-16,6518879.875597943,5965790.198655811,7071969.552540074
2026-02-23,6522642.730360789,5969553.053418658,7075732.407302921
2026-03-02,6513744.4501727475,5960654.773230616,7066834.127114879
2026-03-09,6493928.542994218,5940838.866052086,7047018.219936349
2026-03-16,6465322.09421188,5912232.417269749,7018411.771154012
