Date,TV_Spend,Radio_Spend,Print_Spend,Search_Spend,Social_Media_Spend,Display_Ads_Spend,Email_Marketing_Spend,Influencer_Marketing_Spend,Promotion_Spend,Average_Price,Website_Traffic,New_Customers,Returning_Customers,Orders,Holiday,Season,Competitor_Index,Economic_Index,Revenue
2022-01-03,519999.53,223673.6,136248.41,363393.5,238683.29,257910.44,32257.12,128006.0,62464.77,1409.66,87896.0,1004.0,2050.0,3054.0,1,Winter,106.13,101.71,4276417.62
2022-01-10,466692.08,24385.93,70604.83,229173.51,164517.66,75738.62,26600.96,99732.96,0.0,1411.29,75632.0,1167.0,1861.0,3028.0,0,Winter,102.93,98.11,4258203.47
2022-01-17,511441.69,139458.43,99839.75,210573.21,264900.29,111211.03,29489.21,13635.56,47351.55,1420.73,67611.0,948.0,2076.0,3024.0,0,Winter,109.63,102.33,4238660.04
2022-01-24,370545.34,185283.68,98364.16,148624.84,184370.74,179185.61,24223.76,63725.51,0.0,1454.25,76513.0,1151.0,2011.0,3162.0,0,Winter,113.86,103.36,4549146.68
2022-01-31,557515.93,84445.57,64774.48,227854.51,317352.88,160141.71,24334.32,118485.87,0.0,1429.19,66169.0,1110.0,2058.0,3168.0,0,Winter,107.42,101.74,4505986.97
2022-02-07,393359.43,114281.03,106919.58,164425.66,200470.18,94520.21,22288.55,119157.07,54988.15,1378.36,57204.0,782.0,1398.0,2180.0,0,Winter,101.42,101.29,2971612.6
2022-02-14,417951.82,100803.06,101970.03,288512.83,296665.0,128993.9,23084.69,56217.07,0.0,1418.22,71532.0,975.0,2326.0,3301.0,0,Winter,106.22,102.75,4684852.45
2022-02-21,727322.84,96087.82,89778.86,318424.93,219889.86,122228.81,20148.47,112184.35,0.0,1430.57,90559.0,1282.0,2184.0,3466.0,0,Winter,111.08,96.54,4917920.38
2022-02-28,315401.41,119338.43,71383.45,207312.51,256184.92,133739.97,31092.92,150047.03,0.0,1429.41,69137.0,1153.0,2248.0,3401.0,0,Winter,108.24,103.17,4932905.08
2022-03-07,77624.87,190093.4,69671.05,263662.4,162161.73,98264.25,35921.87,140743.36,0.0,1393.64,82509.0,1355.0,2243.0,3598.0,0,Spring,106.24,102.63,4977083.78
2022-03-14,784300.83,207460.16,77175.7,214047.36,155879.14,121830.88,34534.07,103993.91,0.0,1421.51,69659.0,1038.0,2177.0,3215.0,0,Spring,107.19,103.04,4509406.08
2022-03-21,952375.19,120686.86,101612.61,220131.18,232517.0,65536.1,21632.61,88370.89,75041.37,1412.11,90001.0,1191.0,2226.0,3417.0,0,Spring,104.1,104.83,4890739.28
2022-03-28,432862.27,211383.81,68249.46,292027.51,264150.08,131554.99,31858.27,81702.35,0.0,1439.72,92814.0,1116.0,2071.0,3187.0,0,Spring,104.68,103.53,4583077.43
2022-04-04,162615.79,136063.72,99568.06,251652.24,209835.46,143922.73,34966.52,130004.86,80060.97,1367.42,70876.0,1183.0,2283.0,3466.0,0,Spring,102.11,101.65,4800011.09
2022-04-11,449786.25,205362.51,61861.09,342400.16,132974.24,118344.32,26887.9,118250.55,0.0,1365.95,95472.0,1165.0,2081.0,3246.0,0,Spring,102.27,103.88,4480465.22
2022-04-18,453275.78,130570.65,84984.9,229593.52,128716.96,65492.5,29314.47,137349.89,0.0,1363.27,92091.0,1104.0,2128.0,3232.0,0,Spring,97.24,104.52,4507588.94
2022-04-25,468835.79,139190.93,91731.0,304597.78,124705.42,164572.02,20159.22,115403.64,0.0,1352.6,78875.0,1122.0,2293.0,3415.0,0,Spring,97.5,104.82,4505284.03
2022-05-02,305215.57,147980.66,143252.56,258244.72,104676.55,140505.44,29936.89,145207.44,0.0,1337.44,94787.0,1450.0,2185.0,3635.0,0,Spring,92.72,105.11,4760282.56
